15
70 94 64
19 71 31 71
39 47 44 47
9 43 34 43
18 35 46 35
6 49 57 49
16 28 66 28
6 2 21 2
41 49 61 49
50 4 55 4
4 12 40 12
4 46 6 46
1 40 24 40
48 34 54 34
12 76 37 76
56 48 64 48
51 5 60 5
11 18 12 18
22 62 67 62
35 51 44 51
36 34 45 34
20 15 43 15
10 34 34 34
5 19 18 19
52 0 68 0
51 0 55 0
46 8 48 8
61 15 65 15
15 36 53 36
23 76 24 76
28 14 61 14
4 6 54 6
17 46 58 46
62 40 63 40
12 77 58 77
19 51 67 51
2 6 26 6
18 1 26 1
25 18 30 18
16 6 31 6
5 7 44 7
29 77 55 77
35 19 64 19
3 44 28 44
55 6 68 6
46 7 50 7
47 62 66 62
1 2 68 2
34 27 51 27
29 29 34 29
27 7 59 7
7 13 34 13
47 12 52 12
43 15 53 15
4 47 21 47
49 68 57 68
21 5 41 5
24 54 27 54
33 7 67 7
23 24 49 24
13 1 18 1
43 45 63 45
0 62 51 62
15 6 40 6
9 50 25 50
3 12 15
0 9 1 9
1 3 1 3
1 7 2 7
0 2 0 2
0 6 2 6
0 2 2 2
0 1 2 1
2 4 2 4
0 6 0 6
0 5 1 5
0 9 1 9
0 2 0 2
0 5 1 5
1 2 2 2
1 4 2 4
3 3 22
0 0 0 0
1 0 2 0
0 0 2 0
0 2 2 2
0 2 1 2
0 0 0 0
0 0 2 0
2 1 2 1
0 0 2 0
0 1 1 1
0 1 0 1
0 1 1 1
1 1 2 1
0 1 2 1
1 2 2 2
0 1 0 1
1 0 2 0
1 1 2 1
0 0 1 0
2 1 2 1
0 2 2 2
0 0 2 0
88 94 20
26 23 30 23
44 18 65 18
2 24 87 24
34 10 42 10
1 21 12 21
5 2 27 2
2 60 71 60
4 38 46 38
17 9 41 9
48 23 52 23
45 11 57 11
10 55 27 55
10 2 73 2
13 64 32 64
3 2 12 2
0 38 38 38
15 17 87 17
2 56 50 56
39 36 71 36
7 31 81 31
64 68 96
21 36 23 36
41 3 51 3
0 29 43 29
1 16 56 16
3 28 37 28
48 21 51 21
1 50 22 50
