Case 1
   Query 1: 456
   Query 2: 608
   Query 3: 304
   Query 4: 288
   Query 5: 672
   Query 6: 0
   Query 7: 576
   Query 8: 304
   Query 9: 456
   Query 10: 96
   Query 11: 304
   Query 12: 240
   Query 13: 416
   Query 14: 0
   Query 15: 48
   Query 16: 608
   Query 17: 0
   Query 18: 608
   Query 19: 24
   Query 20: 304
   Query 21: 240
   Query 22: 288
   Query 23: 0
   Query 24: 672
   Query 25: 480
   Query 26: 684
   Query 27: 528
   Query 28: 336
   Query 29: 840
   Query 30: 456
   Query 31: 228
   Query 32: 684
   Query 33: 456
   Query 34: 0
   Query 35: 0
   Query 36: 0
   Query 37: 0
   Query 38: 768
   Query 39: 720
   Query 40: 228
   Query 41: 608
   Query 42: 336
   Query 43: 720
   Query 44: 456
   Query 45: 760
   Query 46: 304
   Query 47: 0
   Query 48: 0
   Query 49: 456
   Query 50: 0
   Query 51: 432
   Query 52: 0
   Query 53: 96
   Query 54: 0
   Query 55: 0
   Query 56: 456
   Query 57: 323
   Query 58: 152
   Query 59: 592
   Query 60: 0
   Query 61: 720
   Query 62: 0
   Query 63: 480
   Query 64: 152
   Query 65: 456
   Query 66: 222
   Query 67: 608
   Query 68: 816
   Query 69: 456
   Query 70: 0
   Query 71: 570
   Query 72: 684
   Query 73: 0
   Query 74: 432
   Query 75: 624
   Query 76: 864
   Query 77: 696
   Query 78: 0
   Query 79: 396
   Query 80: 336
   Query 81: 480
   Query 82: 152
   Query 83: 228
   Query 84: 0
   Query 85: 114
   Query 86: 672
   Query 87: 0
   Query 88: 0
   Query 89: 336
   Query 90: 520
   Query 91: 528
   Query 92: 768
   Query 93: 262
   Query 94: 624
   Query 95: 0
   Query 96: 504
   Query 97: 720
   Query 98: 528
   Query 99: 0
   Query 100: 0
   Query 101: 0
   Query 102: 256
   Query 103: 640
   Query 104: 0
   Query 105: 96
   Query 106: 672
   Query 107: 708
   Query 108: 0
   Query 109: 0
   Query 110: 834
   Query 111: 864
   Query 112: 0
   Query 113: 16
   Query 114: 0
   Query 115: 432
   Query 116: 0
   Query 117: 456
   Query 118: 144
   Query 119: 624
   Query 120: 152
   Query 121: 504
   Query 122: 288
   Query 123: 36
   Query 124: 0
   Query 125: 0
   Query 126: 0
   Query 127: 600
   Query 128: 768
   Query 129: 144
   Query 130: 760
   Query 131: 732
   Query 132: 336
   Query 133: 772
   Query 134: 576
   Query 135: 96
   Query 136: 0
   Query 137: 456
   Query 138: 600
   Query 139: 0
   Query 140: 0
   Query 141: 384
   Query 142: 456
   Query 143: 0
   Query 144: 576
   Query 145: 480
   Query 146: 532
   Query 147: 648
   Query 148: 0
   Query 149: 0
   Query 150: 96
   Query 151: 368
   Query 152: 0
   Query 153: 824
   Query 154: 304
   Query 155: 720
   Query 156: 0
   Query 157: 608
   Query 158: 576
   Query 159: 144
   Query 160: 336
   Query 161: 48
   Query 162: 636
   Query 163: 144
   Query 164: 528
   Query 165: 304
   Query 166: 456
   Query 167: 840
   Query 168: 684
   Query 169: 0
   Query 170: 498
   Query 171: 528
   Query 172: 228
   Query 173: 0
   Query 174: 0
   Query 175: 0
   Query 176: 0
   Query 177: 640
   Query 178: 684
   Query 179: 864
   Query 180: 114
   Query 181: 228
   Query 182: 0
   Query 183: 0
   Query 184: 120
   Query 185: 144
   Query 186: 192
Case 2
   Query 1: 893
   Query 2: 186
   Query 3: 684
   Query 4: 528
   Query 5: 684
   Query 6: 378
   Query 7: 456
   Query 8: 456
   Query 9: 228
   Query 10: 342
   Query 11: 76
   Query 12: 456
   Query 13: 456
   Query 14: 456
   Query 15: 429
   Query 16: 0
   Query 17: 684
   Query 18: 0
   Query 19: 684
   Query 20: 306
   Query 21: 456
   Query 22: 228
   Query 23: 684
   Query 24: 0
   Query 25: 228
   Query 26: 792
   Query 27: 360
   Query 28: 456
   Query 29: 684
   Query 30: 384
   Query 31: 252
   Query 32: 228
   Query 33: 840
   Query 34: 456
   Query 35: 0
   Query 36: 0
   Query 37: 684
   Query 38: 168
   Query 39: 21
   Query 40: 384
   Query 41: 336
   Query 42: 0
   Query 43: 0
   Query 44: 456
   Query 45: 744
   Query 46: 420
   Query 47: 456
   Query 48: 792
   Query 49: 228
   Query 50: 0
   Query 51: 684
   Query 52: 0
   Query 53: 228
   Query 54: 0
   Query 55: 684
   Query 56: 684
   Query 57: 0
   Query 58: 0
   Query 59: 0
   Query 60: 0
   Query 61: 228
   Query 62: 0
   Query 63: 228
   Query 64: 228
   Query 65: 228
   Query 66: 144
   Query 67: 216
   Query 68: 456
   Query 69: 456
   Query 70: 456
   Query 71: 722
   Query 72: 684
   Query 73: 228
   Query 74: 114
   Query 75: 342
   Query 76: 171
   Query 77: 684
   Query 78: 6
   Query 79: 279
   Query 80: 456
   Query 81: 456
   Query 82: 852
   Query 83: 456
   Query 84: 456
   Query 85: 684
   Query 86: 684
   Query 87: 228
   Query 88: 684
   Query 89: 228
   Query 90: 684
   Query 91: 0
   Query 92: 72
   Query 93: 171
   Query 94: 798
   Query 95: 456
   Query 96: 399
   Query 97: 513
   Query 98: 456
   Query 99: 684
   Query 100: 684
   Query 101: 57
   Query 102: 456
   Query 103: 228
   Query 104: 408
   Query 105: 684
   Query 106: 456
   Query 107: 114
   Query 108: 0
   Query 109: 114
   Query 110: 0
   Query 111: 684
   Query 112: 684
   Query 113: 456
   Query 114: 456
   Query 115: 228
   Query 116: 228
   Query 117: 684
   Query 118: 798
   Query 119: 456
   Query 120: 456
   Query 121: 684
   Query 122: 228
   Query 123: 120
   Query 124: 228
   Query 125: 768
   Query 126: 456
   Query 127: 456
   Query 128: 456
   Query 129: 228
   Query 130: 684
   Query 131: 228
   Query 132: 228
   Query 133: 0
   Query 134: 114
   Query 135: 456
   Query 136: 354
   Query 137: 456
   Query 138: 0
   Query 139: 456
   Query 140: 684
   Query 141: 492
   Query 142: 456
   Query 143: 741
   Query 144: 456
   Query 145: 192
   Query 146: 0
   Query 147: 342
   Query 148: 756
   Query 149: 456
   Query 150: 228
   Query 151: 456
   Query 152: 228
   Query 153: 456
   Query 154: 432
   Query 155: 0
   Query 156: 114
   Query 157: 0
   Query 158: 456
   Query 159: 114
   Query 160: 228
   Query 161: 456
   Query 162: 228
   Query 163: 285
   Query 164: 684
   Query 165: 456
   Query 166: 456
   Query 167: 342
   Query 168: 570
   Query 169: 0
   Query 170: 0
   Query 171: 456
   Query 172: 0
   Query 173: 864
   Query 174: 456
   Query 175: 0
   Query 176: 798
   Query 177: 684
   Query 178: 888
   Query 179: 504
   Query 180: 456
   Query 181: 456
   Query 182: 684
   Query 183: 312
   Query 184: 0
   Query 185: 570
   Query 186: 456
   Query 187: 570
   Query 188: 228
   Query 189: 684
   Query 190: 228
   Query 191: 0
   Query 192: 228
   Query 193: 0
   Query 194: 228
   Query 195: 0
   Query 196: 456
   Query 197: 684
   Query 198: 342
   Query 199: 570
   Query 200: 798
   Query 201: 84
   Query 202: 684
   Query 203: 456
   Query 204: 456
   Query 205: 741
   Query 206: 228
   Query 207: 684
   Query 208: 708
   Query 209: 684
   Query 210: 0
   Query 211: 0
   Query 212: 456
   Query 213: 852
   Query 214: 0
   Query 215: 0
   Query 216: 228
   Query 217: 456
   Query 218: 456
   Query 219: 57
   Query 220: 684
   Query 221: 684
   Query 222: 0
   Query 223: 612
   Query 224: 0
   Query 225: 456
   Query 226: 0
   Query 227: 456
   Query 228: 0
   Query 229: 360
   Query 230: 0
   Query 231: 456
   Query 232: 684
   Query 233: 0
   Query 234: 0
   Query 235: 228
   Query 236: 0
   Query 237: 0
   Query 238: 570
   Query 239: 0
   Query 240: 684
   Query 241: 0
   Query 242: 456
   Query 243: 684
   Query 244: 456
   Query 245: 60
   Query 246: 627
   Query 247: 456
   Query 248: 456
   Query 249: 0
   Query 250: 0
   Query 251: 324
   Query 252: 396
   Query 253: 0
   Query 254: 228
   Query 255: 456
   Query 256: 114
   Query 257: 114
   Query 258: 267
   Query 259: 684
   Query 260: 0
   Query 261: 0
   Query 262: 228
   Query 263: 0
   Query 264: 684
   Query 265: 0
   Query 266: 684
   Query 267: 876
   Query 268: 456
   Query 269: 228
   Query 270: 684
   Query 271: 0
   Query 272: 0
   Query 273: 741
   Query 274: 408
   Query 275: 76
